iter	Passed	Remaining
588	21489	14995
589	21527	14959
590	21560	14920
591	21592	14881
592	21611	14833
593	21645	14794
594	21675	14753
595	21714	14718
596	21762	14690
597	21795	14652
598	21826	14611
599	21860	14573
600	21927	14557
601	21957	14516
602	21965	14461
603	22005	14427
604	22036	14387
605	22067	14347
606	22099	14308
607	22109	14255
608	22140	14214
609	22188	14185
610	22233	14154
611	22277	14123
612	22319	14090
613	22352	14052
614	22386	14014
615	22418	13975
616	22442	13931
617	22494	13904
618	22550	13880
619	22591	13846
620	22625	13808
621	22645	13762
622	22690	13730
623	22730	13696
624	22766	13659
625	22801	13622
626	22856	13597
627	22888	13558
628	22962	13543
629	22994	13504
630	23038	13472
631	23084	13441
632	23125	13407
633	23171	13376
634	23209	13340
635	23240	13301
636	23270	13261
637	23291	13215
638	23322	13175
639	23355	13137
640	23404	13107
641	23449	13076
642	23492	13043
643	23537	13011
644	23605	12991
645	23651	12960
646	23685	12922
647	23721	12885
648	23757	12848
649	23788	12809
650	23822	12771
651	23861	12735
652	23899	12699
653	23941	12666
654	23956	12618
655	24055	12614
656	24086	12574
657	24105	12529
658	24141	12491
659	24158	12445
660	24199	12410
661	24231	12371
662	24257	12329
663	24293	12293
664	24329	12256
665	24361	12217
666	24392	12178
667	24428	12141
668	24463	12103
669	24492	12063
670	24525	12024
671	24555	11985
672	24587	11946
673	24627	11911
674	24659	11873
675	24697	11837
676	24721	11794
677	24755	11756
678	24784	11716
679	24821	11680
680	24852	11641
681	24886	11604
682	24920	11566
683	24971	11536
684	25005	11498
685	25036	11459
686	25089	11431
687	25135	11398
688	25155	11354
689	25183	11314
690	25212	11274
691	25226	11227
692	25237	11180
693	25268	11141
694	25311	11107
695	25332	11064
696	25364	11026
697	25374	10978
698	25404	10939
699	25415	10892
700	25451	10855
701	25468	10811
702	25500	10773
703	25512	10726
704	25537	10686
705	25570	10648
706	25608	10612
707	25656	10581
708	25672	10536
709	25738	10512
710	25809	10490
711	25873	10465
712	25914	10431
713	25946	10393
714	25977	10354
715	26016	10319
716	26057	10284
717	26091	10247
718	26172	10228
719	26215	10194
720	26250	10158
721	26266	10113
722	26298	10075
723	26330	10037
724	26363	10000
725	26400	9963
726	26431	9925
727	26442	9879
728	26475	9842
729	26505	9803
730	26546	9768
731	26578	9731
732	26607	9692
733	26639	9654
734	26671	9616
735	26708	9580
736	26738	9541
737	26766	9502
738	26783	9459
739	26816	9421
740	26852	9385
741	26904	9355
742	26941	9318
743	26975	9281
744	27007	9244
745	27054	9211
746	27103	9179
747	27131	9140
748	27576	9241
749	27617	9205
750	27648	9167
751	27682	9129
752	27715	9091
753	27728	9046
754	27762	9009
755	27804	8973
756	27842	8937
757	27861	8895
758	27895	8857
759	27925	8818
760	27959	8781
761	28007	8747
762	28041	8710
763	28074	8672
764	28104	8633
765	28134	8594
766	28167	8556
767	28204	8520
768	28238	8482
769	28266	8443
770	28306	8407
771	28338	8369
772	28377	8333
773	28410	8295
774	28441	8257
775	28456	8214
776	28467	8170
777	28502	8133
778	28534	8095
779	28547	8051
