iter	Passed	Remaining
538	392405	335619
539	393247	334988
540	393992	334274
541	394532	333387
542	395249	332649
543	395756	331737
544	396635	331135
545	397289	330346
546	398123	329707
547	398849	328977
548	399653	328312
549	400139	327386
550	400857	326651
551	401322	325710
552	402021	324961
553	402641	324148
554	403869	323823
555	404864	323308
556	405357	322393
557	406388	321906
558	407114	321175
559	408223	320747
560	408735	319848
561	409494	319143
562	410010	318249
563	410864	317618
564	411522	316835
565	412255	316110
566	412915	315330
567	413530	314515
568	414025	313611
569	414891	312987
570	415390	312088
571	416193	311417
572	416738	310553
573	417586	309915
574	418092	309024
575	418980	308415
576	419483	307524
577	420203	306792
578	420700	305897
579	421694	305364
580	422273	304531
581	423009	303810
582	423499	302915
583	424375	302295
584	424832	301376
585	425562	300653
586	426072	299775
587	426531	298862
588	427279	298152
589	427732	297237
590	428581	296598
591	429175	295783
592	429908	295063
593	430429	294199
594	431370	293621
595	431823	292712
596	432606	292027
597	433127	291165
598	433845	290437
599	434392	289594
600	435524	289142
601	436321	288465
602	437297	287905
603	438093	287226
604	439040	286646
605	440025	286089
606	440770	285375
607	441828	284862
608	443020	284435
609	443681	283665
610	444439	282957
611	445030	282143
612	445848	281473
613	446578	280748
614	447565	280183
615	448602	279648
616	449148	278806
617	450121	278230
618	450830	277490
619	451930	276989
620	453025	276484
621	453633	275680
622	454383	274963
623	454877	274092
624	455752	273451
625	456338	272636
626	457162	271964
627	457722	271134
628	458606	270497
629	459247	269716
630	460266	269157
631	460836	268335
632	461838	267763
633	462635	267073
634	463342	266330
635	464374	265773
636	464991	264979
637	465921	264363
638	466530	263564
639	467369	262895
640	467913	262060
641	468679	261350
642	469237	260525
643	470128	259884
644	470682	259057
645	471494	258373
646	472058	257552
647	472881	256873
648	473378	256018
649	474065	255266
650	474588	254426
651	475323	253700
652	475915	252898
653	476844	252275
654	477386	251447
655	478110	250716
656	478720	249925
657	479651	249302
658	480220	248490
659	481018	247797
660	481592	246989
661	482478	246341
662	482930	245471
663	483772	244800
664	484297	243969
665	485237	243347
666	485760	242516
667	486627	241856
668	487230	241066
669	488085	240400
670	488615	239574
671	489665	239003
672	490288	238223
